,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
3,GEM/2025/B/6364722,"HDMI Switcher 8x8,HDMI Cable 3...",154,2025-07-25 12:21,2025-08-16 10:00,Ministry of Defence Department of Military Affairs,"HDMI Switcher 8x8,HDMI Cable 30 Meter,Active USB Cable 3.0 30 Meter,Cat 6 Networking Cable 305 Mete"
7,GEM/2025/B/6499090,Hiring of Professionals for Cl...,1,2025-07-31 13:59,2025-08-16 12:00,Ministry of Labour and Employment Employees State Insuarnce Corporation,"Hiring of Professionals for Cloud, Network and Security - as per atc of bid; as per atc of bid; as "
8,GEM/2025/B/6503985,"Fibre Cable for Networking,Fi...",6000,2025-08-04 11:59,2025-08-16 12:00,Ministry of Defence Department of Military Affairs,"Fibre Cable  for Networking,Fibre Cable  for Networking,Fibre Cable  for Networking"
11,GEM/2025/B/6444241,Cluster Outsourcing for Mainte...,2,2025-07-31 18:25,2025-08-16 13:00,Ministry of Communications Department of Telecommunications (DOT),Cluster Outsourcing for Maintenance of Landline and Broadband network – OFC Network - Optical Fib
15,GEM/2025/B/6499907,4MP CCTV CAMERA WITH INSTALLAT...,20,2025-07-26 13:40,2025-08-16 14:00,Ministry of Home Affairs Central Armed Police Forces,"4MP CCTV CAMERA WITH INSTALLATION,HIKVISION 16 CHANNEL NVR,POE NETWORK SWITCH 4 PORT,5 PORT SWITCH,"
16,GEM/2025/B/6494978,Supply and Installation of Aut...,1,2025-07-26 17:50,2025-08-16 14:00,PMO Department of Atomic Energy,Supply and Installation of Auto Impedance Matching Network Unit for BARC make ICPMS
19,GEM/2025/B/6412752,Custom Bid for Services - Annu...,1,2025-08-15 12:00,2025-08-16 15:00,Ministry of Chemicals and Fertilizers Department of Fertilizers,Custom Bid for Services - Annual Rate Contract for Maintenance/ Extension of Local Area Network (Pa
21,GEM/2025/B/6412752,Custom Bid for Services - Annu...,1,2025-08-15 12:00,2025-08-16 15:00,Ministry of Chemicals and Fertilizers Department of Fertilizers,Custom Bid for Services - Annual Rate Contract for Maintenance/ Extension of Local Area Network (Pa
26,GEM/2025/B/6523743,Custom Bid for Services - Repa...,1,2025-08-01 16:27,2025-08-16 17:00,Ministry of Steel Steel Authority of India Limited,Custom Bid for Services - Repair and maintenance of pipelines for distribution network of WMD
28,GEM/2025/B/6535360,Fibre Cable for Networking,200,2025-08-05 17:31,2025-08-16 18:00,Agriculture Production Department Jammu and Kashmir,Fibre Cable for Networking
29,GEM/2025/B/6098852,Custom Bid for Services - VC N...,1,2025-08-15 18:00,2025-08-16 18:00,Ministry of Defence Department of Defence Research & Development,Custom Bid for Services - VC NETWORK EXTENSION
